id	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YAL068C	9.42394506065272	8.57615452804024	6.35912225229587	5.14490420916488
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.0841162168368	36.9846664021735	15.8978056307397	9.43232438346894
gene-YAL065C	7.40452826194142	1.60802897400754	6.35912225229587	2.57245210458244
gene-YAL064W-B	0.673138932903765	1.60802897400754	0	0
gene-YAL064C-A	0	0.536009658002515	3.17956112614794	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.8478901213054	10.7201931600503	6.35912225229587	2.57245210458244
gene-YAL062W	5113.163334337	586.930575512754	416.52250752538	138.054929612591
gene-YAL061W	1283.67594504748	1040.39474618288	101.745956036734	70.3136908585867
gene-YAL060W	2743.71429051575	2586.78260952014	267.083134596427	284.68469957379
gene-YAL059W	90.8737559420083	136.146453132639	1678.80827460611	1433.71330628728
gene-YAL058W	57.2168092968201	73.4333231463445	174.875861938137	167.209386797859
gene-YAL056W	943.067644998175	627.667309520945	82.6685892798464	67.7412387540042
gene-YAL055W	151.456259903347	113.634047496533	38.1547335137752	31.7269092898501
gene-YAL054C	15663.9429686706	3414.91753113402	502.370657931374	107.185504357602
gene-YAL053W	1297.13872370556	413.799455977941	1230.49015581925	790.60028014167
gene-YAL051W	351.378522975766	252.996558577187	200.31235094732	168.92435486758
gene-YAL049C	1793.24211725563	1289.63923715405	213.030595451912	252.95779028394
gene-YAL048C	170.977288957556	120.602173050566	89.0277115321422	72.0286589283083
gene-YAL047C	67.9870322232803	65.3931782763068	76.3094670275505	73.7436269980299
gene-YAL046C	25.5792794503431	103.449863994485	85.8481504059943	130.337573298844
gene-YAL044W-A	349.359106177054	247.636461997162	79.4890281536984	106.328020322741
gene-YAL044C	541.876840987531	816.878718795833	448.318118786859	373.863039199315
gene-YAL043C	427.443222393891	366.63060607372	397.445140768492	465.613830929422
gene-YAL042W	284.064629685389	457.216238276145	445.138557660711	509.345516707323
gene-YAL041W	111.741062862025	195.107515512915	394.265579642344	341.278645874604
gene-YAL040C	576.206926565623	326.429881723532	877.558870816831	632.82321772728
gene-YAL039C	504.18106074492	554.2339863746	441.958996534563	303.549348340728
gene-YAL038W	25373.2989368745	9682.47846215743	12651.4737209426	9448.6165801313
gene-YAL037C-A	14.1359175909791	8.57615452804024	19.0773667568876	9.43232438346894
gene-YAL037W	28.2718351819581	27.3364925581283	57.2321002706629	46.3041378824839
gene-YAL036C	123.184424721389	132.930395184624	1437.16162901887	1372.83193981216
gene-YAL035W	980.090286307882	1141.70057154536	2969.71009182217	2515.00067424676
gene-YAL034W-A	47.7928642361673	72.897313488342	44.5138557660711	40.3017496384582
gene-YAL034C	2726.88581719315	1122.94023351527	302.058306984054	282.969731504068
gene-YAL033W	43.080891705841	62.7131299862942	104.925517162882	174.069259076745
gene-YAL032C	57.8899482297238	96.4817384404527	248.005767839539	212.656040645482
gene-YAL031C	326.472382458326	246.564442681157	155.798495181249	138.912413647452
gene-YAL030W	508.219894342343	423.983639479989	124.00288391977	149.202222065781
gene-YAL029C	188.478901213054	281.40507045132	550.064074823593	467.328798999143
gene-YAL028W	144.051731641406	86.2975549384049	19.0773667568876	30.8694252549893
gene-YAL027W	228.86723718728	244.956413707149	63.5912225229587	60.0238824402569
gene-YAL026C	149.436843104636	174.73914850882	187.594106442728	202.366232227152
gene-YNCA0001W	3.36569466451883	3.21605794801509	0	1.71496806972163
gene-YAL025C	90.8737559420083	137.754482106646	2702.62695722575	2485.8462170615
gene-YAL024C	28.2718351819581	50.9209175102389	101.745956036734	87.4633715558029
gene-YAL023C	320.414132062192	752.021550177528	1042.89604937652	994.681480438543
gene-YAL022C	22.2135847858243	30.0165408481408	114.464200541326	92.6082757649678
gene-YAL021C	537.164868457205	444.888016142087	349.751723876273	301.834380271006
gene-YAL020C	170.304150024653	165.090974664775	47.6934168922191	93.4657597998286
gene-YAL019W	138.666620178176	154.906791162727	467.395485543747	394.442656035974
gene-YAL018C	0	0	0	0.857484034860813
gene-YAL017W	1587.26160378708	921.936611764326	82.6685892798464	78.031047172334
gene-YAL016W	2628.6075329892	2148.86271893208	451.497679913007	526.495197404539
gene-YAL015C	156.168232433674	246.564442681157	108.10507828903	181.786615390492
gene-YAL014C	184.440067615632	248.708481313167	136.721128424361	171.496806972163
gene-YAL013W	306.278214471213	374.134741285755	499.191096805226	458.753958650535
gene-YAL012W	71.3527268877991	125.426259972588	2718.52476285649	2580.16946089619
gene-YAL011W	100.297701002661	108.273950916508	248.005767839539	218.658428889507
gene-YAL010C	123.857563654293	127.570298604599	60.4116613968108	88.3208555906638
gene-YAL009W	75.3915604852217	48.7768788782289	101.745956036734	120.905248915375
gene-YAL008W	949.125895394309	525.289464842465	127.182445045917	89.1783396255246
gene-YAL007C	79.4303940826443	272.82891592328	184.41454531658	228.948237307837
gene-YNCA0002W	0	0	0	0
gene-YAL005C	10136.7991905978	22457.1966413314	934.790971087494	1359.11219525439
gene-YAL003W	3122.69150974057	6383.87502680995	8619.79021298706	8450.50516355331
gene-YNCA0003W	12.1165007922678	48.7768788782289	73.1299059014026	44.5891698127623
gene-YAL002W	277.333240356351	166.699003638782	340.213040497829	327.558901316831
gene-YAL001C	460.427030106176	372.526712311748	85.8481504059943	96.8956959392719
gene-YAR002W	191.171456944669	231.556172257086	887.097554195274	885.78100801122
gene-YAR002C-A	457.061335441657	861.367520410041	327.494795993238	357.570842536959
gene-YAR003W	59.2362260955314	88.441593570415	130.362006172065	150.917190135503
gene-YAR007C	162.226482829807	456.14421896014	22.2569278830356	43.7316857779015
